TANGGAL,QTY,YEAR,MONTH,DAY,DAYOFWEEK,DAYOFYEAR,WEEKOFYEAR,QUARTER,IS_MONTH_START,IS_MONTH_END,MONTH_SIN,MONTH_COS,DOW_SIN,DOW_COS,LAG_1,LAG_2,LAG_3,LAG_7,LAG_14,LAG_28,ROLLING_MEAN_3,ROLLING_STD_3,ROLLING_MEAN_7,ROLLING_STD_7,ROLLING_MEAN_14,ROLLING_STD_14,EXPANDING_MEAN,EXPANDING_STD,KATEGORI_AIR MINERAL,KATEGORI_MINUMAN TEH,KATEGORI_ROKOK,KATEGORI_SUSU,IS_HOLIDAY,DAYS_TO_NEXT_HOLIDAY,DAYS_SINCE_LAST_HOLIDAY,IS_BEFORE_HOLIDAY_3D,IS_AFTER_HOLIDAY_3D,IS_NEAR_HOLIDAY_3D
2024-02-10,395,2024,2,10,5,41,6,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,390.0,568.0,434.0,547.0,588.0,148.0,464.0,92.71461589199397,520.1428571428571,85.54029960868088,504.5,106.00344696862821,439.10714285714283,149.36962338954464,1,0,0,0,1,0,0,0,0,1
2024-02-13,617,2024,2,13,1,44,7,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,395.0,390.0,568.0,585.0,491.0,257.0,451.0,101.3558089109844,498.42857142857144,96.2130572269295,490.7142857142857,106.85535051678947,437.58620689655174,146.90655855275085,1,0,0,0,0,27,3,0,1,1
2024-02-14,702,2024,2,14,2,45,7,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,617.0,395.0,390.0,490.0,467.0,209.0,467.3333333333333,129.63924302977597,503.0,101.62020796409882,499.7142857142857,112.06071745087304,443.56666666666666,148.02135990628432,1,0,0,0,0,26,4,0,0,0
2024-02-15,510,2024,2,15,3,46,7,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,702.0,617.0,395.0,627.0,432.0,529.0,571.3333333333334,158.5128806543282,533.2857142857143,125.81165060745157,516.5,123.77196774714379,451.9032258064516,152.75609204190184,1,0,0,0,0,25,5,0,0,0
2024-02-16,507,2024,2,16,4,47,7,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,510.0,702.0,617.0,434.0,260.0,474.0,609.6666666666666,96.20984010657789,516.5714285714286,118.86667200811902,522.0714285714286,121.40869585236237,453.71875,150.62262914745028,1,0,0,0,0,24,6,0,0,0
2024-02-17,405,2024,2,17,5,48,7,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,507.0,510.0,702.0,568.0,668.0,509.0,573.0,111.7273466972162,527.0,113.49596174901278,539.7142857142857,95.59886430885496,455.3333333333333,148.5403284184692,1,0,0,0,0,23,7,0,0,0
2024-02-20,630,2024,2,20,1,51,8,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,405.0,507.0,510.0,390.0,516.0,622.0,474.0,59.7745765355134,503.7142857142857,120.20498365391565,520.9285714285714,94.28228015724035,453.8529411764706,146.52688911429055,1,0,0,0,0,20,10,0,0,0
2024-02-21,550,2024,2,21,2,52,8,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,630.0,405.0,507.0,395.0,547.0,412.0,514.0,112.66321493726312,538.0,116.53611743432467,529.0714285714286,98.64580328374092,458.8857142857143,147.3945827539469,1,0,0,0,0,19,11,0,0,0
2024-02-22,679,2024,2,22,3,53,8,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,550.0,630.0,405.0,617.0,585.0,230.0,528.3333333333334,114.05408073950393,560.1428571428571,98.10441473489477,529.2857142857143,98.69099294217325,461.4166666666667,146.06522515643488,1,0,0,0,0,18,12,0,0,0
2024-02-23,656,2024,2,23,4,54,8,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,679.0,550.0,630.0,702.0,490.0,98.0,619.6666666666666,65.11784189708132,569.0,106.53012093613108,536.0,105.72024040253234,467.2972972972973,148.3979007160713,1,0,0,0,0,17,13,0,0,0
